city;num
Bar;44
Budva;114
éabljak;3
Herceg Novi;29
Go?;1
?uraöevi?i;5
Kr?edin;6
Rakovac;2
Ralja;2
Kosjeri? (selo);1
Beograd;7615
Tivat;82
Novi Sad;1743
Privina Glava;1
Kopaonik;13
Gornji Milanovac;1
éabalj;1
Popovi?;1
Grocka;2
Obrenovac;6
Pirot;2
Velika Plana;2
Bioska;1
Sremska Kamenica;14
Irig;2
Petrovaradin;18
Niö;246
?urug;1
Tara (planina);4
Omoljica;1
Gornja Trep?a;2
Nova Varoö;7
Aran?elovac;7
?erevi?;4
Kelebija;1
Jagodina;21
Mladenovac (varo≈°);6
Rijeka Reûevi?i;4
Div?çibare;5
NULL;42
Podgorica;8
Kotor;34
Veliko Gradi≈°te;3
Meroöina;1
Banatski Brestovac;1
Ov?çar Banja;1
Donji Stoliv;6
Sutorina;1
Dobra Voda;6
Buljarica;2
Dobrota;16
Petrovac na Moru;5
Bigova;2
Para?in;17
Lap?çi?i;1
Sutomore;4
Bliziku?e;5
Prûno;16
Kulja?çe;1
Be?çi?i;17
Katun Reûevi?i;4
Sveti Stefan;2
?êenovi?i;5
Bijela;2
Luötica;5
Risan;4
Podi;1
Strp;5
Baoöi?i;1
Markovi?i;2
Lepetani;1
Donji Orahovac;5
Krimovica;4
Donja Lastva;4
Perast;9
Draûin Vrt;1
Kolaöin;1
Bjeliöi;1
Kostanjica;6
Radanovi?;1
Ivanje;1
Zagora;1
Kava?;1
Muo;1
Kraöi?i;4
Radovi?i;1
Jabuka;2
äuöanj;1
Utrg;1
Pljevlja;1
Zaljevo;1
Kumbor;1
Igalo;2
Ulcinj;1
Gluhi Do;2
Loznica;4
Zlatibor;75
Vrnja?çka Banja;3
Sremski Karlovci;3
Peru?ac;1
Novi Banovci;8
Sokobanja;1
Pan?çevo;35
Kruöevac;7
Donja Trep?;1
Resnik;1
Aleksinac;1
Subotica;1
Stari Slankamen;2
Banoötor;3
Beöka;3
?uprija;7
äumarak;1
Slankamena?ki Vinogradi;1
Sombor;1
?ortanovci;4
Banja Vrujci;2
Ra?ça;1
Kovin;2
Vranje;3
Golubac;2
Kragujevac;5
Meljanica;1
Mramor;1
Bato?çina;1
?enej;3
?i?evac;1
Stara Pazova;26
Trgoviöte;1
Vojka;1
In?ija;7
Zrenjanin;6
äabac;2
Poûarevac;3
äid;1
Ruma;4
Topola;1
Smederevo;10
Pe?inci;7
Veternik;1
Rumenka;2
Kraljevo;7
Pali?;4
Srbobran;2
Sremska Mitrovica;2
Valjevo;4
Banja Kovilja?ça;1
Despotovac;1
Temerin;1
Leskovac;2
Lazarevac;1
Kova?çica;2
Ub;2
Sarajevo;1
Smederevska Palanka;1
Plandiöte;1
Beo?çin;1
Doljevac;1
Be?çej;1
Trstenik;1
Vladimirci;1
Topola (selo);1
Niöevac;2
Uûice;1
Bela Crkva;1
Kora?ica;1
Ka?;1
Mali Zvornik;1
Dimitrovgrad;1
?ajetina;2
Lopatanj;1
?a?çak;1
